Organization,Project Name,Project (sq.ft.),Project Address,Zip Code,1 Star,2 Star,3 Star,4 Star,5 Star,AEGB Rating,LEED Certification,Building Use,Agreements,Voluntary Participation,Program,Rating Version,Fiscal Year Reported,PropertyID,New Georeferenced Column,Stories Above Grade,Number of Residential Units,Fiscal Year Date,Fiscal Year End Date,City,State
,Seaholm Power Plant,163715,800 W CESAR CHAVEZ ST,78701,0,0,1,0,0,3-star,Gold,Office/ Retail,Downtown (CBD-DMU),No,Commercial,Commercial Rating 2010,2015,,POINT (-97.75266704 30.266285003),2,,10/01/2014,09/30/2015,Austin,TX
,Crossings at Lakeline - 2,116812,11001 LAKELINE BLVD 2,78717,1,0,0,0,0,1-star,,Office,,Yes,Commercial,Commercial Rating 2006,2010,,POINT (-97.794551746 30.480061085),3,,10/01/2009,09/30/2010,Austin,TX
,Third and Colorado,416000,300 Colorado St,78701,0,1,0,0,0,2-star,,Office/ Retail,"Downtown (CBD-DMU), Downtown Density Bonus Program (DDBP)",No,Commercial,COMMERCIAL RATING 2016,2021,,POINT (-97.74534 30.265992014),32,,10/01/2020,09/30/2021,Austin,TX
,AISD Gorzycki Middle School,172535,7412 W SLAUGHTER LN,78749,0,0,1,0,0,3-star,,School,,Yes,Commercial,AISD Rating 2007,2010,,POINT (-97.891877963 30.214364017),3,,10/01/2009,09/30/2010,Austin,TX
,TA Brown Elementary School,69000,7801 GUADALUPE ST,78752,0,0,0,1,0,4-star,Gold,School,,Yes,Commercial,COMMERCIAL RATING 2016,2021,,POINT (-97.70936001 30.344816018),2,0,10/01/2020,09/30/2021,Austin,TX
,HID Global World Headquarters,243600,611 CENTER RIDGE DR UNIT 1,78753,0,0,0,1,0,4-star,Platinum,Office/ Manufacturing,,Yes,Commercial,Commercial Rating 2010,2015,,POINT (-97.666467967 30.413884996),2,,10/01/2014,09/30/2015,Austin,TX
,1300 Guadalupe,54000,1300 GUADALUPE ST,78701,1,0,0,0,0,1-star,,Office,,Yes,Commercial,Commercial Rating 2008,2012,,POINT (-97.743896971 30.27636399),5,,10/01/2011,09/30/2012,Austin,TX
,Strictly Pediatrics Surgery Center at Mueller,129700,1301 BARBARA JORDAN BLVD,78723,0,0,1,0,0,3-star,,Health Care,Mueller Development (PUD),No,Commercial,Commercial Rating 2006,2007,,POINT (-97.707092034 30.305390018),4,,10/01/2006,09/30/2007,Austin,TX
,PetSmart  at Mueller,20463,1201 BARBARA JORDAN BLVD 8,78723,0,0,1,0,0,3-star,,Retail,Mueller Development (PUD),No,Commercial,Commercial Rating 2006,2008,,POINT (-97.709006964 30.306354021),1,,10/01/2007,09/30/2008,Austin,TX
,Austin Animal Center Kennel Addition,8565,7201 LEVANDER LOOP,78702,0,0,0,0,0,,Silver,Other,,Yes,Commercial,LEED BD+C: New Construction v3 - LEED 2009,2019,,POINT (-97.689318041 30.252743997),1,,10/01/2018,09/30/2019,Austin,TX
,Wells Branch Community Library,16114,15001 WELLS PORT DR,78728,0,1,0,0,0,2-star,,Library,,Yes,Commercial,Pilot Commercial Rating,2004,,POINT (-97.675837007 30.44605298),1,,10/01/2003,09/30/2004,Austin,TX
