Organization,Project Name,Project (sq.ft.),Project Address,Zip Code,1 Star,2 Star,3 Star,4 Star,5 Star,AEGB Rating,LEED Certification,Building Use,Agreements,Voluntary Participation,Program,Rating Version,Fiscal Year Reported,PropertyID,New Georeferenced Column,Stories Above Grade,Number of Residential Units,Fiscal Year Date,Fiscal Year End Date,City,State,Boundaries: Austin MSA Census Tracts 2010,"Boundaries: Zip Code Tabulation Areas, 2017",Boundaries: City of Austin Council Districts,Cartographic Boundary File - Census Tracts,Cartographic Boundary File - County,"Boundaries: Zip Code Tabulation Areas, 2017 2",BOUNDARIES_single_member_districts,Neighborhood Planning Areas,Community Registry,Zipcodes
,East 20th Apartments,3200,1803 E 20TH ST,78722,0,0,1,0,0,3-star,,Residential,0,Yes,Multifamily,Pre 2007 Rating,2003,,POINT (-97.721991035 30.280487007),1,8,10/01/2002,09/30/2003,Austin,TX,13,22,9,165,6,11,8,27,309,74
,Safe Place,12360,1515 GROVE BLVD,78741,1,0,0,0,0,1-star,,Residential/ Office/ Other,,Yes,Multifamily,MF-Rating 2017,2002,,POINT (-97.705552027 30.230883993),2,14,10/01/2001,09/30/2002,Austin,TX,190,25,2,78,6,8,3,46,365,55
,AMLI Mueller III South,322471,4524 MATTIE ST,78722,0,1,0,0,0,2-star,Platinum,Residential/ Retail,"S.M.A.R.T. Housing, Mueller LEED only",No,Multifamily,MF-Rating 2016,2023,,POINT (-97.703311042 30.298100989),5,169,10/01/2022,09/30/2023,Austin,TX,10,14,5,94,6,19,10,38,309,33
,Wildflower Terrace,236111,3801 BERKMAN DR,78723,0,0,1,0,0,3-star,Silver,Residential,"Mueller Development (PUD), S.M.A.R.T. Housing",No,Multifamily,MF-Rating 2009,2012,,POINT (-97.698162961 30.290668002),4,201,10/01/2011,09/30/2012,Austin,TX,10,14,5,94,6,19,10,38,309,33
,The Elizabeth,489044,13500 LYNDHURST ST,78717,0,1,0,0,0,2-star,,Residential,Leander Rehabilitation (PUD),No,Multifamily,MF-Rating 2016,2020,,POINT (-97.786559685 30.476450622),4,373,10/01/2019,09/30/2020,Austin,TX,261,38,10,303,2,49,6,,540,47
,The Nine at Austin,158751,2518 LEON ST,78705,1,0,0,0,0,1-star,,Residential,"University Neighborhood Overlay (UNO), S.M.A.R.T. Housing",No,Multifamily,MF-Rating 2016,2019,,POINT (-97.749450988 30.291076996),5,104,10/01/2018,09/30/2019,Austin,TX,16,44,5,189,6,43,10,44,217,50
,Springs at Tech Ridge,428870,1200 E PARMER LN,78753,0,1,0,0,0,2-star,,Residential,Oertli (PUD),No,Multifamily,MF-Rating 2010,2014,,POINT (-97.652635983 30.396170011),3,342,10/01/2013,09/30/2014,Austin,TX,121,40,6,235,6,47,7,,540,78
,Broadstone at the Arboretum,379005,10011 STONELAKE BLVD,78759,1,0,0,0,0,1-star,,Residential,North Burnet/Gateway,No,Multifamily,MF-Rating 2010,2015,,POINT (-97.738364999 30.392327998),4,330,10/01/2014,09/30/2015,Austin,TX,71,36,6,177,6,51,7,32,540,58
,Longhorn Village,645000,501 N QUINLAN PARK RD,78732,0,0,1,0,0,3-star,,Residential/ Office,0,Yes,Multifamily,Pre 2007 Rating,2010,,POINT (-97.910519986 30.350698983),4,269,10/01/2009,09/30/2010,Austin,TX,76,18,,175,6,15,,,540,21
,Sterling,111400,2704 RIO GRANDE ST,78705,0,1,0,0,0,2-star,,Residential,"University Neighborhood Overlay (UNO), S.M.A.R.T. Housing",No,Multifamily,Pre 2007 Rating,2007,,POINT (-97.744675985 30.292792982),4,76,10/01/2006,09/30/2007,Austin,TX,16,44,5,189,6,43,10,44,217,50
,Midtown Commons - Phase II,247583,7200 EASY WIND DR,78752,0,0,1,0,0,3-star,,Residential/ Office/ Other,0,Yes,Multifamily,MF-Rating 2010,2014,,POINT (-97.719832024 30.340278014),4,246,10/01/2013,09/30/2014,Austin,TX,38,47,6,45,6,40,7,89,217,16
,AMLI Covered Bridge Phase II,138004,6804 COVERED BRIDGE DR,78736,0,1,0,0,0,2-star,Gold,Residential,Covered Bridge PUD,No,Multifamily,MF-Rating 2013,2017,,POINT (-97.897874963 30.247498015),3,130,10/01/2016,09/30/2017,Austin,TX,82,54,4,92,6,33,2,73,295,27
,Walnut Creek Apartments,83300,6409 SPRINGDALE RD,78723,0,0,1,0,0,3-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,Pre 2007 Rating,2001,,POINT (-97.668243003 30.307453014),2,98,10/01/2000,09/30/2001,Austin,TX,166,14,9,137,6,19,8,48,309,33
,Bridge at Turtle Creek,281700,6020 S 1ST ST,78745,1,0,0,0,0,1-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2016,2023,,POINT (-97.784704015 30.203228993),5,307,10/01/2022,09/30/2023,Austin,TX,196,28,8,22,6,5,4,65,373,23
,Phi Kappa Psi Fraternity House,21000,2501 NUECES ST,78705,1,0,0,0,0,1-star,,Residential,"University Neighborhood Overlay (UNO), S.M.A.R.T. Housing",No,Multifamily,MF-Rating 2013,2017,,POINT (-97.742716967 30.289302003),3,17,10/01/2016,09/30/2017,Austin,TX,16,44,5,189,6,43,10,44,217,50
,Franklin Gardens,15582,3522 E MARTIN LUTHER KING JR BLVD,78721,0,0,0,1,0,4-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2009,2010,,POINT (-97.697127963 30.284018009),2,22,10/01/2009,09/30/2010,Austin,TX,167,14,9,210,6,19,8,67,309,33
,The Edge,253620,2818 KRAMER LN,78758,0,1,0,0,0,2-star,,Residential,Domain (PDA),No,Multifamily,MF-Rating 2013,2018,,POINT (-97.723031984 30.395804979),5,259,10/01/2017,09/30/2018,Austin,TX,131,11,6,139,6,22,7,45,217,18
,1600 S 1st,103130,1600 S 1ST ST,78704,1,0,0,0,0,1-star,,Residential/ Office/ Retail/ Restaurant,0,Yes,Multifamily,MF-Rating 2016,2021,,POINT (-97.755733979 30.248908019),4,59,10/01/2020,09/30/2021,Del Valle,TX,30,24,5,271,6,9,10,42,217,75
,Villas on 26th,97640,800 W 26TH ST,78705,1,0,0,0,0,1-star,,Residential/ Office,"University Neighborhood Overlay (UNO), S.M.A.R.T. Housing",No,Multifamily,MF-Rating 2010,2015,,POINT (-97.745671001 30.290958015),6,47,10/01/2014,09/30/2015,Austin,TX,16,44,5,189,6,43,10,44,217,50
,The Corners,2900,1339 LAMAR SQUARE DR,78704,0,0,1,0,0,3-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,Pre 2007 Rating,2005,,POINT (-97.764273965 30.25466098),2,8,10/01/2004,09/30/2005,Austin,TX,28,24,7,288,6,9,1,2,217,75
,The Villages of Ben White,215526,7000 E BEN WHITE BLVD,78741,1,0,0,0,0,1-star,,Residential/ Office,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2010,2016,,POINT (-97.702269004 30.217829011),4,184,10/01/2015,09/30/2016,Austin,TX,184,25,2,276,6,8,3,46,114,55
,Vi Collina,180147,2401 E OLTORF ST,78741,1,0,0,0,0,1-star,,Residential/ Office,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2016,2022,,POINT (-97.731804986 30.229399013),5,170,10/01/2021,09/30/2022,Austin,TX,185,25,2,206,6,8,3,76,309,55
,Terrace at Oak Springs,53185,3000 OAK SPRINGS DR,78702,0,0,1,0,0,3-star,,Residential/ Retail/ Other,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2013,2020,,POINT (-97.700626989 30.273608021),4,50,10/01/2019,09/30/2020,Austin,TX,20,26,9,292,6,7,8,69,309,1
,Circle S Apartments,204505,7201 S CONGRESS AVE,78745,0,1,0,0,0,2-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,Pre 2007 Rating,2003,,POINT (-97.780422958 30.187077988),3,200,10/01/2002,09/30/2003,Austin,TX,202,28,8,260,6,5,4,,372,23
,Harris Branch Apartments,294107,12435 DESSAU RD,78754,1,0,0,0,0,1-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,Pre 2007 Rating,2007,,POINT (-97.64482296 30.38893098),3,248,10/01/2006,09/30/2007,Austin,TX,124,37,9,226,6,50,8,,540,77
,Terraces at Southpark Meadows,225888,10101 S 1ST ST,78748,0,0,1,0,0,3-star,,Residential,0,Yes,Multifamily,Pre 2007 Rating,2009,,POINT (-97.799704018 30.157370009),3,244,10/01/2008,09/30/2009,Austin,TX,201,50,7,228,6,37,1,,329,22
,Garden Terrace Phase 3,10540,1015 W WILLIAM CANNON DR,78745,0,0,1,0,0,3-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2013,2019,,POINT (-97.793289012 30.198542001),2,20,10/01/2018,09/30/2019,Austin,TX,204,28,8,11,6,5,4,,329,23
,Plaza Lofts,103000,309 W 5TH ST,78701,0,0,0,1,0,4-star,,Residential/ Office,0,Yes,Multifamily,Pre 2007 Rating,2002,,POINT (-97.746479017 30.267761015),11,52,10/01/2001,09/30/2002,Austin,TX,26,35,5,93,6,52,10,60,217,24
,Clawson Ridge,62015,3700 CLAWSON RD,78704,0,0,1,0,0,3-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2009,2021,,POINT (-97.78086502 30.234328997),3,39,10/01/2020,09/30/2021,Austin,TX,161,24,7,333,6,9,1,22,441,75
,Roosevelt Gardens,29721,5606 ROOSEVELT AVE,78756,0,0,0,0,1,5-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2016,2022,,POINT (-97.732433964 30.32800301),3,40,10/01/2021,09/30/2022,Austin,TX,5,21,6,104,6,12,7,25,217,7
,3500 Westlake Apartments,198243,3500 N CAPITAL OF TEXAS HWY SB,78746,0,1,0,0,0,2-star,,Residential,Dev Agreement,No,Multifamily,Pre 2007 Rating,2008,,POINT (-97.803941194 30.247101067),3,175,10/01/2007,09/30/2008,Austin,TX,155,23,4,214,6,10,2,,126,29
,Sweeney Circle,10512,5800 SWEENEY CIR,78723,0,0,0,1,0,4-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2009,2012,,POINT (-97.679998035 30.304877004),2,22,10/01/2011,09/30/2012,Austin,TX,165,14,9,211,6,19,8,26,309,33
,Jeremiah Program Moody Campus,36573,1200 PAUL TERESA SALDANA ST,78702,0,1,0,0,0,2-star,,Residential/ Office/ Other,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2013,2017,,POINT (-97.703426042 30.269310996),4,35,10/01/2016,09/30/2017,Austin,TX,19,26,2,293,6,7,3,29,309,1
,Quarters at Sterling House,208765,709 W 22ND ST,78705,0,0,1,0,0,3-star,,Residential,"University Neighborhood Overlay (UNO), S.M.A.R.T. Housing",No,Multifamily,Pre 2007 Rating,2007,,POINT (-97.745926984 30.284874011),6,100,10/01/2006,09/30/2007,Austin,TX,17,44,5,48,6,43,10,44,217,50
,The Copeland,354316,2511 W BRAKER LN,78758,1,0,0,0,0,1-star,,Residential,North Burnet/Gateway,No,Multifamily,MF-Rating 2013,2020,,POINT (-97.719186031 30.389397014),4,328,10/01/2019,09/30/2020,Austin,TX,131,11,6,139,6,22,7,45,217,18
,Modera Domain,387840,2618 KRAMER LN,78758,0,1,0,0,0,2-star,,Residential,North Burnet/Gateway,No,Multifamily,MF-Rating 2016,2022,,POINT (-97.719615017 30.395525987),4,354,10/01/2021,09/30/2022,Austin,TX,131,11,6,139,6,22,7,45,217,18
,Towne Vista,302476,2201 MONTOPOLIS DR,78741,0,1,0,0,0,2-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,Pre 2007 Rating,2004,,POINT (-97.704547037 30.22264299),2,280,10/01/2003,09/30/2004,Austin,TX,184,25,2,276,6,8,3,46,114,55
,Alexan Braker Pointe,362271,10801 N MOPAC EXPWY,78759,0,1,0,0,0,2-star,,Residential,North Burnet/Gateway,No,Multifamily,MF-Rating 2016,2024,,POINT (-97.730208988 30.397183006),7,315,10/01/2023,09/30/2024,Austin,TX,72,36,6,42,6,51,7,45,217,18
,Retreat at North Bluff,272971,6212 CROW LN,78745,0,1,0,0,0,2-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,MF-Rating Mixed Use 2008,2011,,POINT (-97.771983975 30.197450006),3,240,10/01/2010,09/30/2011,Austin,TX,192,28,8,134,6,5,4,28,373,23
,Anderson Village,12000,3101 E 12TH ST,78702,0,0,0,1,0,4-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2010,2014,,POINT (-97.702231034 30.276399991),2,24,10/01/2013,09/30/2014,Austin,TX,20,26,9,292,6,7,8,69,309,1
,Rosemont at Oak Valley,308112,2800 COLLINS CREEK DR,78741,0,1,0,0,0,2-star,,Residential,0,Yes,Multifamily,Pre 2007 Rating,2004,,POINT (-97.730022994 30.224963981),3,120,10/01/2003,09/30/2004,Austin,TX,185,25,2,206,6,8,3,76,309,55
,Arbor Terrace,57800,2501 S IH 35 SVRD NB,78741,0,0,0,1,0,4-star,,Residential/ Office/ Other,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2010,2012,,POINT (-97.741337976 30.231428985),3,123,10/01/2011,09/30/2012,Austin,TX,181,25,2,33,6,8,3,76,309,55
,Spring Valley Apartments,311435,2302 E WILLIAM CANNON DR,78744,0,1,0,0,0,2-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,Pre 2007 Rating,2002,,POINT (-97.75822902 30.186616019),2,230,10/01/2001,09/30/2002,Austin,TX,200,8,8,77,6,25,4,,484,20
,Works at Pleasant Valley,39570,2800 LYONS RD,78702,0,0,1,0,0,3-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2010,2014,,POINT (-97.70752496 30.264237011),3,45,10/01/2013,09/30/2014,Austin,TX,19,26,2,293,6,7,3,29,309,1
,Broadstone East End,280216,5400 JAIN LN,78721,0,1,0,0,0,2-star,,Residential,thinkEAST PUD,No,Multifamily,MF-Rating 2016,2024,,POINT (-97.687010079 30.26258542),4,305,10/01/2023,09/30/2024,Austin,TX,169,29,2,286,6,4,3,31,309,62
,Pointe on Rio,177032,1901 RIO GRANDE ST,78705,1,0,0,0,0,1-star,,Residential,"University Neighborhood Overlay (UNO), S.M.A.R.T. Housing",No,Multifamily,MF-Rating 2010,2015,,POINT (-97.744825016 30.282943994),6,122,10/01/2014,09/30/2015,Austin,TX,17,44,5,48,6,43,10,44,217,50
,Waller Creekside on 51st,151947,105 W 51ST ST,78751,1,0,0,0,0,1-star,,Residential/ Office,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2010,2014,,POINT (-97.72401099 30.315840994),4,139,10/01/2013,09/30/2014,Austin,TX,9,27,5,62,6,6,10,24,217,65
,Thornton,81000,2501 THORNTON RD,78704,1,0,0,0,0,1-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2010,2019,,POINT (-97.772625022 30.243234015),3,104,10/01/2018,09/30/2019,Austin,TX,29,24,7,88,6,9,1,22,441,75
,Standard at Domain Northside,265545,11711 DOMAIN DR,78758,0,1,0,0,0,2-star,,Residential/ Office,Domain (PDA),No,Multifamily,MF-Rating 2013,2016,,POINT (-97.722624958 30.403449987),5,251,10/01/2015,09/30/2016,Austin,TX,131,11,6,139,6,22,7,45,217,18
,Travis Flats,250800,5310 HELEN ST,78751,0,0,1,0,0,3-star,,Residential/ Office/ Retail,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2016,2022,,POINT (-97.713145026 30.315147014),4,146,10/01/2021,09/30/2022,Austin,TX,163,27,1,212,6,6,9,68,217,65
,Texan West Campus,121067,2616 SALADO ST,78705,0,1,0,0,0,2-star,,Residential,"University Neighborhood Overlay (UNO), S.M.A.R.T. Housing",No,Multifamily,Pre 2007 Rating,2005,,POINT (-97.745548039 30.292282021),4,62,10/01/2004,09/30/2005,Austin,TX,16,44,5,189,6,43,10,44,217,50
,The Standard at the Domain,214222,11721 DOMAIN BLVD,78758,0,1,0,0,0,2-star,,Residential/ Retail,Domain (PDA),No,Multifamily,MF-Rating 2013,2017,,POINT (-97.720511964 30.403707982),5,218,10/01/2016,09/30/2017,Austin,TX,131,11,6,139,6,22,7,45,217,18
,CityView at the Park,98000,2000 WOODWARD ST,78741,0,0,0,1,0,4-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,Pre 2007 Rating,2008,,POINT (-97.742907991 30.218796996),5,72,10/01/2007,09/30/2008,Austin,TX,181,25,2,33,6,8,3,76,309,55
,Elysium Grand,101654,3300 OAK CREEK DR,78727,1,0,0,0,0,1-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2016,2021,,POINT (-97.704878039 30.427863999),5,90,10/01/2020,09/30/2021,Austin,TX,128,9,6,38,6,24,7,,540,36
,Heights on Congress,150000,2703 S CONGRESS AVE,78704,0,0,1,0,0,3-star,,Residential,0,Yes,Multifamily,Pre 2007 Rating,2001,,POINT (-97.756177968 30.23515298),2,172,10/01/2000,09/30/2001,Austin,TX,182,24,2,111,6,9,3,37,217,75
,Estancia Villas,352079,1200 ESTANCIA PKWY,78652,0,1,0,0,0,2-star,,Residential/ Other,Estancia Hill Country PUD,No,Multifamily,MF-Rating 2013,2018,,POINT (-97.805949961 30.121622994),3,312,10/01/2017,09/30/2018,Austin,TX,194,46,7,274,6,41,1,,484,14
,San Pedro Flats,25838,2708 SAN PEDRO ST,78705,1,0,0,0,0,1-star,,Residential,"University Neighborhood Overlay (UNO), S.M.A.R.T. Housing",No,Multifamily,MF Rating - 2007,2013,,POINT (-97.746064029 30.293074991),3,10,10/01/2012,09/30/2013,Austin,TX,16,44,5,189,6,43,10,57,217,50
,Lyons Gardens,35340,2720 LYONS RD,78702,0,0,1,0,0,3-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,Pre 2007 Rating,2005,,POINT (-97.708580996 30.264668008),3,54,10/01/2004,09/30/2005,Austin,TX,19,26,2,293,6,7,3,29,309,1
,Estates at Southpark Meadows,374480,10001 S 1ST ST,78748,0,1,0,0,0,2-star,,Residential,Endeavor Agreement,No,Multifamily,Pre 2007 Rating,2009,,POINT (-97.796331978 30.158134983),3,426,10/01/2008,09/30/2009,Austin,TX,201,50,7,228,6,37,1,,329,22
,AMLI Mueller,325134,1900 SIMOND AVE,78723,1,0,0,0,0,1-star,Platinum,Residential/ Retail,"S.M.A.R.T. Housing, Mueller LEED only",No,Multifamily,MF-Rating 2010,2015,,POINT (-97.703698034 30.297186985),4,279,10/01/2014,09/30/2015,Austin,TX,10,14,5,94,6,19,10,38,309,33
,Austin Resource Center for the Homeless,26820,500 E 7TH ST,78701,0,0,0,0,1,5-star,,Residential/ Office,S.M.A.R.T. Housing,No,Multifamily,Pre 2007 Rating,2004,,POINT (-97.737622027 30.267948015),3,100,10/01/2003,09/30/2004,Austin,TX,26,35,5,93,6,52,10,60,217,24
,GrandMarc,140000,510 W 26TH ST,78705,1,0,0,0,0,1-star,,Residential/ Retail/ Restaurant,"University Neighborhood Overlay (UNO), S.M.A.R.T. Housing",No,Multifamily,MF-Rating 2010,2013,,POINT (-97.742404993 30.290951016),5,134,10/01/2012,09/30/2013,Austin,TX,16,44,5,189,6,43,10,44,217,50
,Overture at Mueller,209230,4818 BERKMAN DR,78723,0,0,1,0,0,3-star,,Residential/ Retail,"Mueller Development (PUD), S.M.A.R.T. Housing",No,Multifamily,MF-Rating 2013,2018,,POINT (-97.700775013 30.301919994),4,201,10/01/2017,09/30/2018,Austin,TX,10,14,5,94,6,19,10,38,309,33
,Moonlight Gardens,142759,5204 CHARLES MERLE DR,78747,1,0,0,0,0,1-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2016,2023,,POINT (-97.761656826 30.156407024),3,264,10/01/2022,09/30/2023,Austin,TX,206,51,8,227,6,36,4,,484,4
,Pathways at Goodrich Place,141708,2126 GOODRICH AVE,78704,1,0,0,0,0,1-star,,Residential/ Office,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2016,2020,,POINT (-97.773883984 30.248330003),3,120,10/01/2019,09/30/2020,Austin,TX,29,24,7,88,6,9,1,2,217,75
,thinkEAST,188515,1143 SHADY LN,78721,0,1,0,0,0,2-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2013,2019,,POINT (-97.68921201 30.262082988),3,182,10/01/2018,09/30/2019,Austin,TX,169,29,2,286,6,4,3,31,309,62
,Flatiron Domain,401179,10727 DOMAIN DR,78758,1,0,0,0,0,1-star,,Residential,North Burnet/Gateway,No,Multifamily,MF-Rating 2013,2020,,POINT (-97.725484026 30.394296991),6,364,10/01/2019,09/30/2020,Austin,TX,131,11,6,139,6,22,7,45,217,18
,Midtown Commons at Crestview Station,515978,810 W ST JOHNS AVE,78752,0,0,1,0,0,3-star,,Residential,0,Yes,Multifamily,Pre 2007 Rating,2010,,POINT (-97.718422021 30.340204002),3,335,10/01/2009,09/30/2010,Austin,TX,38,47,6,45,6,40,7,89,217,16
,Villas on Sixth Apartment Homes,159000,1900 E 6TH ST,78702,0,1,0,0,0,2-star,,Residential/ Office,S.M.A.R.T. Housing,No,Multifamily,Pre 2007 Rating,2006,,POINT (-97.722227991 30.261759991),3,160,10/01/2005,09/30/2006,Austin,TX,24,26,2,290,6,7,3,66,309,1
,Akoya,46492,2200 DICKSON DR,78704,0,0,0,1,0,4-star,,Residential,0,Yes,Multifamily,Pre 2007 Rating,2008,,POINT (-97.780405021 30.246425006),2,64,10/01/2007,09/30/2008,Austin,TX,146,24,7,281,6,9,1,2,217,75
,AZUL Lakeshore Apartments Phase 2,280959,1201 LADY BIRD LN,78741,0,0,1,0,0,3-star,,Residential/ Office/ Retail,Lakeshore (PUD),No,Multifamily,MF-Rating 2010,2016,,POINT (-97.722596041 30.242410996),5,278,10/01/2015,09/30/2016,Austin,TX,180,25,2,327,6,8,3,64,309,55
,12th Street Court,27641,2612 W 12TH ST,78703,0,0,1,0,0,3-star,,Residential,0,Yes,Multifamily,MF-Rating 2010,2014,,POINT (-97.773506966 30.287807007),4,20,10/01/2013,09/30/2014,Austin,TX,40,7,3,187,6,26,5,6,126,69
,Texan Tower,143628,2505 SAN GABRIEL ST,78705,0,1,0,0,0,2-star,,Residential,"University Neighborhood Overlay (UNO), S.M.A.R.T. Housing",No,Multifamily,Pre 2007 Rating,2007,,POINT (-97.747336988 30.290104989),5,74,10/01/2006,09/30/2007,Austin,TX,16,44,5,189,6,43,10,44,217,50
,Cascades at Onion Creek,323112,2333 CASCADES AVE,78747,1,0,0,0,0,1-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2016,2022,,POINT (-97.793319587 30.131715511),3,264,10/01/2021,09/30/2022,Austin,TX,208,51,7,132,6,36,1,,484,4
,Lakeshore Apartments,212964,2223 WATERLOO CITY LN,78741,0,0,1,0,0,3-star,,Residential/ Office,Lakeshore (PUD),No,Multifamily,MF-Rating 2010,2014,,POINT (-97.72345703 30.241571004),3,239,10/01/2013,09/30/2014,Austin,TX,180,25,2,327,6,8,3,64,309,55
,Legacy Ranch at Dessau East,310070,13527 HARRISGLENN DR,78660,1,0,0,0,0,1-star,,Residential/ Office,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2016,2022,,POINT (-97.639740006 30.406864984),6,232,10/01/2021,09/30/2022,Austin,TX,122,45,6,232,6,42,7,,540,39
,Park Place at Loyola,250000,6200 LOYOLA LN,78724,0,1,0,0,0,2-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,Pre 2007 Rating,2008,,POINT (-97.650846028 30.302478019),3,252,10/01/2007,09/30/2008,Austin,TX,173,41,9,208,6,46,8,,309,8
,B Austin - A SAMdorosa Communities Project,22000,6700 MENCHACA DR,78745,0,0,0,1,0,4-star,,Residential/ Office/ Other,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2013,2019,,POINT (-97.807133988 30.20629698),3,16,10/01/2018,09/30/2019,Austin,TX,49,28,7,87,6,5,1,83,373,23
,Capital Studios,91976,309 E 11TH ST,78701,0,0,0,1,0,4-star,Platinum,Residential/ Retail,"Downtown (CBD-DMU), S.M.A.R.T. Housing",No,Multifamily,MF-Rating 2010,2015,,POINT (-97.73814204 30.271608015),4,135,10/01/2014,09/30/2015,Austin,TX,26,35,9,93,6,52,8,60,217,24
,AHA! at Briarcliff,21944,1915 BRIARCLIFF BLVD 1,78723,0,0,0,1,0,4-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2016,2021,,POINT (-97.689472017 30.313608013),3,27,10/01/2020,09/30/2021,Austin,TX,164,14,9,287,6,19,8,84,309,33
,La Cima Apartments,289756,3200 MONTOPOLIS DR,78744,1,0,0,0,0,1-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2016,2023,,POINT (-97.71480699 30.211370001),4,260,10/01/2022,09/30/2023,Austin,TX,211,8,8,308,6,25,4,61,484,20
,2401 Longview,79266,2401 LONGVIEW ST,78705,1,0,0,0,0,1-star,,Residential/ Office/ Retail,"University Neighborhood Overlay (UNO), S.M.A.R.T. Housing",No,Multifamily,MF-Rating 2010,2013,,POINT (-97.750433012 30.288785007),5,70,10/01/2012,09/30/2013,Austin,TX,16,44,5,189,6,43,10,44,217,50
,The Shoal,82634,827 W 12TH ST,78701,0,1,0,0,0,2-star,,Residential,Downtown Density Bonus Program,No,Multifamily,MF-Rating 2016,2023,,POINT (-97.749636982 30.276110983),7,140,10/01/2022,09/30/2023,Austin,TX,26,35,5,93,6,52,10,60,217,24
,Park Terrace at Town Lake,45002,516 DAWSON RD,78704,1,0,0,0,0,1-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,Pre 2007 Rating,2004,,POINT (-97.756703011 30.259508989),2,64,10/01/2003,09/30/2004,Austin,TX,30,24,5,271,6,9,10,42,217,75
,Bluebonnet Studios,55000,2301 S LAMAR BLVD,78704,0,0,0,0,1,5-star,Gold,Residential/ Office/ Other,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2013,2017,,POINT (-97.775568998 30.246909019),4,107,10/01/2016,09/30/2017,Austin,TX,29,24,7,88,6,9,1,22,441,75
,The South Fifth,35828,2301 S 5TH ST,78704,0,0,0,0,1,5-star,,Residential,0,Yes,Multifamily,Pre 2007 Rating,2010,,POINT (-97.764001972 30.244895015),3,18,10/01/2009,09/30/2010,Austin,TX,30,24,5,271,6,9,10,42,217,75
,The Works at Pleasant Valley Phase II,23920,2800 LYONS RD,78702,0,0,1,0,0,3-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2013,2020,,POINT (-97.70752496 30.264237011),3,29,10/01/2019,09/30/2020,Austin,TX,19,26,2,293,6,7,3,29,309,1
,Legacy on Rio,203525,2614 RIO GRANDE ST,78705,1,0,0,0,0,1-star,,Residential/ Other,"University Neighborhood Overlay (UNO), S.M.A.R.T. Housing",No,Multifamily,MF-Rating 2016,2022,,POINT (-97.744758966 30.291745998),6,146,10/01/2021,09/30/2022,Austin,TX,16,44,5,189,6,43,10,44,217,50
,2608 Salado Apartments,22038,2608 SALADO ST,78705,1,0,0,0,0,1-star,,Residential,"University Neighborhood Overlay (UNO), S.M.A.R.T. Housing",No,Multifamily,MF-Rating 2009,2011,,POINT (-97.745503028 30.291610002),4,7,10/01/2010,09/30/2011,Austin,TX,16,44,5,189,6,43,10,44,217,50
,The Denizen Condominiums,185710,2800 S 5TH ST,78704,0,0,1,0,0,3-star,,Residential,0,Yes,Multifamily,MF-Rating 2010,2015,,POINT (-97.766995988 30.238646013),3,105,10/01/2014,09/30/2015,Austin,TX,31,24,2,83,6,9,3,85,64,75
