Organization,Project Name,Project (sq.ft.),Project Address,Zip Code,1 Star,2 Star,3 Star,4 Star,5 Star,AEGB Rating,LEED Certification,Building Use,Agreements,Voluntary Participation,Program,Rating Version,Fiscal Year Reported,PropertyID,New Georeferenced Column,Stories Above Grade,Number of Residential Units,Fiscal Year Date,Fiscal Year End Date,City,State,Boundaries: Austin MSA Census Tracts 2010,"Boundaries: Zip Code Tabulation Areas, 2017",Boundaries: City of Austin Council Districts,Cartographic Boundary File - Census Tracts,Cartographic Boundary File - County,"Boundaries: Zip Code Tabulation Areas, 2017 2",BOUNDARIES_single_member_districts,Neighborhood Planning Areas,Community Registry,Zipcodes
,Broadstone Burnet,385922,10301 BURNET RD,78758,1,0,0,0,0,1-star,,Residential,North Burnet/Gateway,No,Multifamily,MF-Rating 2013,2019,,POINT (-97.722379033 30.386594986),4,352,10/01/2018,09/30/2019,Austin,TX,131,11,6,139,6,22,7,45,217,18
,The Jordan at Mueller,147795,2724 PHILOMENA ST,78723,0,0,0,0,1,5-star,Gold,Residential/ Office/ Other,"Mueller Development (PUD), S.M.A.R.T. Housing, Mueller LEED only",No,Multifamily,MF-Rating 2016,2020,,POINT (-97.694802991 30.299243988),4,132,10/01/2019,09/30/2020,Austin,TX,10,14,5,94,6,19,10,38,309,33
,Ashton,410900,101 COLORADO ST,78701,0,0,1,0,0,3-star,,Residential/ Office,Downtown (CBD-DMU),No,Multifamily,Pre 2007 Rating,2009,,POINT (-97.74536196 30.264166016),30,258,10/01/2008,09/30/2009,Austin,TX,26,35,5,93,6,52,10,60,217,24
,Park at Summers Grove,267235,2900 CENTURY PARK BLVD,78727,0,1,0,0,0,2-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,Pre 2007 Rating,2005,,POINT (-97.694834004 30.435179011),2,240,10/01/2004,09/30/2005,Austin,TX,129,9,6,225,6,24,7,,540,36
,The Abali,53097,4611 N IH 35 SVRD NB,78722,1,0,0,0,0,1-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2016,2021,,POINT (-97.713008988 30.304313991),4,56,10/01/2020,09/30/2021,Austin,TX,11,22,5,331,6,11,10,36,309,74
,King Fisher Creek Apartments,43750,4601 E SAINT ELMO RD,78744,1,0,0,0,0,1-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,Pre 2007 Rating,2004,,POINT (-97.73731701 30.204440011),3,35,10/01/2003,09/30/2004,Austin,TX,199,8,8,273,6,25,4,39,484,20
,Addison at Kramer Station,467063,2601 ESPERANZA XING,78759,1,0,0,0,0,1-star,,Residential,North Burnet Gateway (NBG),No,Multifamily,MF-Rating 2010,2016,,POINT (-97.717624985 30.396653018),3,388,10/01/2015,09/30/2016,Austin,TX,131,11,6,139,6,22,7,45,217,18
,IMT at the Domain III,234968,3100 ESPERANZA XING,78758,0,1,0,0,0,2-star,,Residential/ Other,Domain (PDA),No,Multifamily,MF-Rating 2010,2015,,POINT (-97.722331005 30.39991098),4,212,10/01/2014,09/30/2015,Austin,TX,131,11,6,139,6,22,7,45,217,18
,Quarters at Grayson House,116240,714 W 22ND ST,78705,0,0,1,0,0,3-star,,Residential,"University Neighborhood Overlay (UNO), S.M.A.R.T. Housing",No,Multifamily,Pre 2007 Rating,2008,,POINT (-97.746163019 30.285575995),8,102,10/01/2007,09/30/2008,Austin,TX,17,44,5,48,6,43,10,44,217,50
,The Legacy Apartments,22847,1342 LAMAR SQUARE DR,78704,0,0,0,1,0,4-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2010,2013,,POINT (-97.764018987 30.253586001),3,41,10/01/2012,09/30/2013,Austin,TX,28,24,7,288,6,9,1,2,217,75
,AMLI on Aldrich,403622,2401 ALDRICH ST,78723,0,1,0,0,0,2-star,Platinum,Residential/ Office,"S.M.A.R.T. Housing, Mueller LEED only",No,Multifamily,MF-Rating 2013,2018,,POINT (-97.702000028 30.301792002),4,322,10/01/2017,09/30/2018,Austin,TX,10,14,5,94,6,19,10,38,309,33
,Villages at the Domain,36550,3409 ESPERANZA XING P,78758,0,0,1,0,0,3-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,Pre 2007 Rating,2009,,POINT (-97.727660973 30.400958006),3,26,10/01/2008,09/30/2009,Austin,TX,131,11,6,139,6,22,7,45,217,18
,Gallery at Parkside,328445,3000 KRAMER LN,78758,0,1,0,0,0,2-star,,Residential/ Office,Domain (PDA),No,Multifamily,MF-Rating 2013,2018,,POINT (-97.72313198 30.396636003),5,327,10/01/2017,09/30/2018,Austin,TX,131,11,6,139,6,22,7,45,217,18
,Sierra Vista,172060,4320 S CONGRESS AVE,78745,1,0,0,0,0,1-star,,Residential/ Office,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2010,2013,,POINT (-97.767227999 30.21901899),2,238,10/01/2012,09/30/2013,Austin,TX,159,28,2,34,6,5,3,18,373,23
,Ariza Easton Park,348314,8001 E WILLIAM CANNON DR,78744,0,1,0,0,0,2-star,,Residential,Pilot Knob,No,Multifamily,MF-Rating 2016,2023,,POINT (-97.711072622 30.156732294),3,316,10/01/2022,09/30/2023,Austin,TX,212,8,,352,6,25,,,484,20
,Avia,30911,1010 W 26TH ST,78705,1,0,0,0,0,1-star,,Residential,"University Neighborhood Overlay (UNO), S.M.A.R.T. Housing",No,Multifamily,MF-Rating 2016,2022,,POINT (-97.748891999 30.291252011),7,50,10/01/2021,09/30/2022,Austin,TX,16,44,5,189,6,43,10,44,217,50
,Live Oak Trails Apartments,60000,8500 W SH 71,78735,0,0,0,1,0,4-star,,Residential/ Other,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2013,2017,,POINT (-97.890177024 30.248663016),3,58,10/01/2016,09/30/2017,Austin,TX,147,1,4,218,6,32,2,73,295,49
,Mountain Ranch Apartments,180777,2425 East Riverside Drive,78741,1,0,0,0,0,1-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,Pre 2007 Rating,2000,,POINT (-97.725970008 30.234950013),4,196,10/01/1999,09/30/2000,Austin,TX,188,25,2,205,6,8,3,64,309,55
,M Station,172134,2906 E MARTIN LUTHER KING JR BLVD,78702,0,0,0,0,1,5-star,Platinum,Residential/ Other,"S.M.A.R.T. Housing, MLK TOD",No,Multifamily,MF-Rating 2009,2012,,POINT (-97.708061988 30.283659012),4,150,10/01/2011,09/30/2012,Austin,TX,13,22,9,165,6,11,8,69,309,74
,Quarters at Montgomery House,107083,2700 NUECES ST,78705,0,0,1,0,0,3-star,,Residential/ Office,"University Neighborhood Overlay (UNO), S.M.A.R.T. Housing",No,Multifamily,Pre 2007 Rating,2007,,POINT (-97.743150982 30.292254989),4,88,10/01/2006,09/30/2007,Austin,TX,16,44,5,189,6,43,10,44,217,50
,South Shore Apartments - Phase 1C,119288,1414 SHORE DISTRICT DR,78741,0,1,0,0,0,2-star,,Residential/ Retail/ Other,South Shore (PUD),No,Multifamily,MF-Rating 2010,2015,,POINT (-97.728559011 30.244028997),4,94,10/01/2014,09/30/2015,Austin,TX,180,25,2,327,6,8,3,64,309,55
,South Shore Apartments - Phase 1A,337447,1333 SHORE DISTRICT DR,78741,0,1,0,0,0,2-star,,Residential/ Office/ Retail/ Restaurant,South Shore (PUD),No,Multifamily,MF-Rating 2010,2014,,POINT (-97.727083963 30.243138),6,250,10/01/2013,09/30/2014,Austin,TX,180,25,2,327,6,8,3,64,309,55
