Organization,Project (sq.ft.),Zip Code,1 Star,2 Star,3 Star,4 Star,5 Star,AEGB Rating,LEED Certification,Building Use,Agreements,Voluntary Participation,Program,Rating Version,Fiscal Year Reported,PropertyID,New Georeferenced Column,Stories Above Grade,Number of Residential Units,Fiscal Year Date,Fiscal Year End Date,City,State,
Brookfield Residential,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2020,,POINT (-97.716681016 30.154553019),,1,10/1/19,9/30/20,Austin,TX,
Brookfield Residential,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2021,,POINT (-97.716681016 30.154553019),,1,10/1/20,9/30/21,Austin,TX,
Main Street Homes,,78748,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2005,,POINT (-97.828308017 30.152765997),,1,10/1/04,9/30/05,Austin,TX,
Centex Homes,,78724,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2011,,POINT (-97.629560017 30.281752003),,1,10/1/10,9/30/11,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2006,,POINT (-97.741706026 30.160563011),,1,10/1/05,9/30/06,Austin,TX,
Lennar,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,2013,2016,,POINT (-97.70062196 30.200452991),,1,10/1/15,9/30/16,Austin,TX,
Lennar,,78652,0,1,0,0,0,2-star,,Residential,,,Single Family,2013,2019,,POINT (-97.809066017 30.12661098),,1,10/1/18,9/30/19,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2008.2,2010,,POINT (-97.70173801 30.29447699),,1,10/1/09,9/30/10,Austin,TX,
D.R. Horton,,78745,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2005,,POINT (-97.821084996 30.191177996),,1,10/1/04,9/30/05,Austin,TX,
David Weekley Homes,,78758,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2021,,POINT (-97.717904019 30.149620981),,1,10/1/20,9/30/21,Austin,TX,
David Weekley Homes,,78732,0,1,0,0,0,2-star,,Residential,,,Single Family,7,2007,,POINT (-97.646675025 30.400939984),,1,10/1/06,9/30/07,Austin,TX,
Urbana Homes,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2019,,POINT (-97.760218968 30.152916997),,1,10/1/18,9/30/19,Austin,TX,
Hammonds Homes,,78704,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2001,,POINT (-97.775471014 30.243199021),,1,10/1/00,9/30/01,Austin,TX,
Legacy DCS,,,,,,,,,,,,,,,,,,,,,,,,
Taylor Morrison,,78704,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2021,,POINT (-97.718612038 30.14711102),,1,10/1/20,9/30/21,Austin,TX,
Lennar,,78617,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2020,,POINT (-97.59203381 30.146846221),,1,10/1/19,9/30/20,Del Valle,TX,
Bill Taute Homes,,78704,0,0,1,0,0,3-star,,Residential,,,Single Family,7,2004,,POINT (-97.742684026 30.236265008),,1,10/1/03,9/30/04,Austin,TX,
David Weekley Homes,,78732,0,1,0,0,0,2-star,,Residential,,,Single Family,7,2006,,POINT (-97.851167981 30.389137007),,1,10/1/05,9/30/06,Austin,TX,
Tommy Livingston Builders,,78746,0,1,0,0,0,2-star,,Residential,,,Single Family,II,1996,,POINT (-97.820411416 30.269365409),,1,10/1/95,9/30/96,Austin,TX,
NuHome Development Co.,,78748,0,1,0,0,0,2-star,,Residential,,,Single Family,7.1,2006,,POINT (-97.812219038 30.18302802),,1,10/1/05,9/30/06,Austin,TX,
Standard Pacific Homes,,78717,0,1,0,0,0,2-star,,Residential,,,Single Family,2012.1,2016,,POINT (-97.792721474 30.489980732),,1,10/1/15,9/30/16,Austin,TX,
Mark Dawson Homes,,78723,0,1,0,0,0,2-star,,Residential,,,Single Family,6,1999,,POINT (-97.677940027 30.290798005),,1,10/1/98,9/30/99,Austin,TX,
Streetman Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2016,,POINT (-97.695617041 30.291745998),,1,10/1/15,9/30/16,Austin,TX,
Main Street Homes,,78723,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2007,,POINT (-97.670113006 30.290578986),,1,10/1/06,9/30/07,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2016,,POINT (-97.695919963 30.29428999),,1,10/1/15,9/30/16,Austin,TX,
David Weekley Homes,,78732,0,1,0,0,0,2-star,,Residential,,,Single Family,7,2008,,POINT (-97.912000985 30.356968017),,1,10/1/07,9/30/08,Austin,TX,
Dream Finders Homes,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2020,,POINT (-97.722966018 30.146297012),,1,10/1/19,9/30/20,Austin,TX,
Austin Habitat for Humanity,,78724,0,0,1,0,0,3-star,,Residential,,,Single Family,0,2015,,POINT (-97.590342014 30.258078994),,1,10/1/14,9/30/15,Austin,TX,
Austin Habitat for Humanity,,78741,0,0,1,0,0,3-star,,Residential,,,Single Family,7.1,2005,,POINT (-97.69268304 30.235922984),,1,10/1/04,9/30/05,Austin,TX,
Meritage Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2008.2,2010,,POINT (-97.700868974 30.295857992),,1,10/1/09,9/30/10,Austin,TX,
KB Home,,78747,0,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2011,,POINT (-97.739874999 30.149177997),,1,10/1/10,9/30/11,Austin,TX,
Newmark Homes,,78749,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2001,,POINT (-97.874235985 30.204536989),,1,10/1/00,9/30/01,Austin,TX,
Clark Wilson Homes,,78735,1,0,0,0,0,1-star,,Residential,,,Single Family,6,1998,,POINT (-97.837980985 30.255243983),,1,10/1/97,9/30/98,Austin,TX,
PSW Real Estate,,78704,0,0,0,0,1,5-star,,Residential,,,Single Family,2013,2015,,POINT (-97.778579024 30.240856991),,1,10/1/14,9/30/15,Austin,TX,
Main Street Homes,,78748,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2004,,POINT (-97.827824968 30.151770017),,1,10/1/03,9/30/04,Austin,TX,
Grand Haven Homes,,78759,0,0,1,0,0,3-star,,Residential,,,Single Family,2012.1,2015,,POINT (-97.792118479 30.48229876),,1,10/1/14,9/30/15,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2007,,POINT (-97.739363032 30.151801994),,1,10/1/06,9/30/07,Austin,TX,
PSW Real Estate,,78704,0,0,0,0,1,5-star,,Residential,,,Single Family,2013,2015,,POINT (-97.778579024 30.240856991),,1,10/1/14,9/30/15,Austin,TX,
Casas Sendero,,78724,0,1,0,0,0,2-star,,Residential,,,Single Family,7.2,2006,,POINT (-97.63515 30.2882753),,1,10/1/05,9/30/06,Austin,TX,
Empire Communities,,78747,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2020,,POINT (-97.760249981 30.155289997),,1,10/1/19,9/30/20,Austin,TX,
Austin Habitat for Humanity,,78724,0,0,1,0,0,3-star,,Residential,,,Single Family,0,2015,,POINT (-97.59050697 30.257596993),,1,10/1/14,9/30/15,Austin,TX,
Legacy Homes,,78749,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2001,,POINT (-97.873506005 30.203948999),,1,10/1/00,9/30/01,Austin,TX,
Standard Pacific Homes,,78723,0,0,0,0,1,5-star,,Residential,,,Single Family,2013,2015,,POINT (-97.700862017 30.300479983),,1,10/1/14,9/30/15,Austin,TX,
MileStone Community Builders,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2013,2017,,POINT (-97.722774994 30.163873988),,1,10/1/16,9/30/17,Austin,TX,
Newmark Homes,,78732,0,1,0,0,0,2-star,,Residential,,,Single Family,6,1999,,POINT (-97.888181041 30.381882009),,1,10/1/98,9/30/99,Austin,TX,
SDC Austin Commun.,,78724,0,0,1,0,0,3-star,,Residential,,,Single Family,II,1997,,POINT (-97.63800403 30.301708016),,1,10/1/96,9/30/97,Austin,TX,
ILCOR Homes,,,,,,,,,,,,,,,,,,,,,,,,
Centex Homes,,78617,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2011,,POINT (-97.619676999 30.166264004),,1,10/1/10,9/30/11,Del Valle,TX,
Streetman Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2012.1,2014,,POINT (-97.700660013 30.299251992),,1,10/1/13,9/30/14,Austin,TX,
Wilshire Homes,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,II,1997,,POINT (-97.832620003 30.25752801),,1,10/1/96,9/30/97,Austin,TX,
James P Gatzmeyer Builder,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2000,,POINT (-97.756615001 30.180957019),,1,10/1/99,9/30/00,Austin,TX,
Newmark Homes,,78749,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2000,,POINT (-97.871447996 30.205643987),,1,10/1/99,9/30/00,Austin,TX,
KB Home,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2008,,POINT (-97.72944196 30.199966002),,1,10/1/07,9/30/08,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2004,,POINT (-97.73809703 30.149442991),,1,10/1/03,9/30/04,Austin,TX,
Huffman Homes,,,,,,,,,,,,,,,,,,,,,,,,
Affordable Housing Construction,,78741,0,0,1,0,0,3-star,,Residential,,,Single Family,7,2004,,POINT (-97.729289996 30.225972994),,1,10/1/03,9/30/04,Austin,TX,
GFO Home,,78653,0,0,1,0,0,3-star,,Residential,,,Single Family,2016,2020,,POINT (-97.555433986 30.296433997),,1,10/1/19,9/30/20,Manor,TX,
David Weekley Homes,,78754,0,1,0,0,0,2-star,,Residential,,,Single Family,7,2004,,POINT (-97.662966008 30.372363017),,1,10/1/03,9/30/04,Austin,TX,
Lennar,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,2010.1,2017,,POINT (-97.765744989 30.14185301),,1,10/1/16,9/30/17,Austin,TX,
KB Home,,78617,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2010,,POINT (-97.618668991 30.169025003),,1,10/1/09,9/30/10,Del Valle,TX,
Brookfield Residential,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2020,,POINT (-97.716681016 30.154553019),,1,10/1/19,9/30/20,Austin,TX,
Townbridge Homes,,,,,,,,,,,,,,,,,,,,,,,,
