Year,Filename,Num_Unique_Vars,Unique_Vars
2015,15zpallagi.csv,14,"A01700,N03230,A03230,A09750,N09750,N03240,N01400,N07220,A07220,RAL,NUMDEP,A01400,A03240,N01700"
2016,16zpallagi.csv,30,"N03230,A03230,A07220,A19570,A18800,A09750,N21020,N03240,N07220,NUMDEP,A01400,A17000,N19550,A19530,N19570,A01700,N09750,N01400,RAL,A19500,N19530,A19550,N01700,N19500,A20800,A21020,N20800,A03240,N17000,N18800"
2017,17zpallagi.csv,36,"N03230,A03230,A07220,N11900,A19570,A18800,A09750,N03240,DIR_DEP,N07220,CPREP,A11900,NUMDEP,A01400,A17000,N19550,A19530,N19570,A01700,ELF,N09750,N20950,N01400,N12000,A19500,N19530,A19550,N01700,N19500,A20800,A20950,N20800,A12000,A03240,N17000,N18800"
2018,18zpallagi.csv,36,"A04450,N11900,A19570,A18800,A09750,N01750,DIR_DEP,A01750,CPREP,A04475,A11900,NUMDEP,A04200,N04100,A17000,A19530,N19570,A04100,ELF,N09750,N20950,N12000,N18460,A19500,A18460,N19530,N07225,N04475,N19500,N04200,N04450,A20950,A07225,A12000,N17000,N18800"
2019,19zpallagi.csv,35,"A04450,N11900,A19570,A18800,DIR_DEP,CPREP,A04475,A11900,A01400,A04200,N04100,A17000,A19530,N19570,A04100,A01700,ELF,N20950,N01400,N12000,N18460,A19500,A18460,N19530,N07225,N01700,N04475,N19500,N04200,N04450,A20950,A07225,A12000,N17000,N18800"
2020,20zpallagi.csv,48,"A11450,A04450,N11450,N11900,A19570,A18800,A02910,DIR_DEP,CPREP,A04475,A11900,A01400,A04200,N10973,A10970,N04100,A17000,A19530,N19550,A04100,A01700,N19570,ELF,A10971,N20950,N01400,N12000,N18460,N02910,A19500,A18460,N19530,N07225,A19550,N01700,N04475,N04200,N19500,N10971,A10973,N04450,A20950,A07225,VRTCRIND,N10970,A12000,N17000,N18800"
2021,21zpallagi.csv,50,"A11450,A11530,A04450,N11450,N11900,A19570,A18800,A02910,DIR_DEP,CPREP,A04475,A11900,A11520,A01400,A04200,N11520,A10970,N04100,A17000,A19530,N19550,A04100,A01700,N19570,ELF,A10971,N20950,N01400,N12000,N18460,N02910,A19500,A18460,N19530,N07225,A19550,N01700,N04475,N04200,N11530,N19500,N10971,N04450,A20950,A07225,VRTCRIND,N10970,A12000,N17000,N18800"
