Year,Filename,Num_Unique_Vars,Unique_Vars
2013,13zpallagi.csv,13,"N01700,N03230,A01400,A03240,A07220,N01400,A85330,N85330,A01700,A03230,N07220,N03240,NUMDEP"
2014,14zpallagi.csv,26,"A09750,N11560,A05780,TOTAL_VITA,A85775,A85530,N07220,N85775,A85770,N05780,N01400,A01700,N85770,N85530,A11560,N09750,N03240,NUMDEP,VITA,N01700,N03230,A01400,TCE,A03240,A07220,A03230"
2015,15zpallagi.csv,30,"A09750,N11560,A05780,TOTAL_VITA,A85775,A85530,N07220,N85775,A85770,N05780,RAC,N01400,A01700,VITA_EIC,N85770,N85530,A11560,N09750,N03240,NUMDEP,VITA,ELDERLY,N01700,N03230,A01400,TCE,A03240,A07220,A03230,RAL"
2016,16zpallagi.csv,46,"A09750,N11560,A05780,TOTAL_VITA,A85775,N21020,A85530,A19570,N07220,N85775,A85770,A19500,N19530,A20800,N05780,RAC,N01400,A18800,A01700,A17000,A19550,VITA_EIC,N19500,N17000,N85770,N85530,A19530,A11560,N09750,N03240,NUMDEP,N19570,N18800,N20800,VITA,N19550,ELDERLY,N01700,N03230,A01400,TCE,A03240,A07220,A03230,RAL,A21020"
2017,17zpallagi.csv,52,"A09750,N11560,ELF,A05780,TOTAL_VITA,A85775,N12000,A85530,A19570,N07220,N85775,A85770,A19500,N19530,A20800,CPREP,A12000,DIR_DEP,N05780,RAC,N01400,A18800,A01700,A17000,A19550,VITA_EIC,N19500,N17000,N85770,N85530,A20950,A19530,A11560,N20950,N11900,N09750,N03240,NUMDEP,N19570,N18800,N20800,VITA,N19550,A11900,N01700,ELDERLY,N03230,A01400,TCE,A03240,A07220,A03230"
2018,18zpallagi.csv,52,"A09750,N11560,ELF,A05780,N04100,A04200,TOTAL_VITA,A85775,N12000,A85530,A18460,A19570,A85770,N85775,A19500,N19530,A01750,CPREP,A12000,DIR_DEP,N05780,RAC,A07225,N04200,A18800,A17000,VITA_EIC,A04100,N19500,N17000,N85770,N85530,A20950,A19530,A11560,N20950,N11900,N04450,N09750,A04475,NUMDEP,N19570,N18800,VITA,A11900,ELDERLY,N07225,TCE,N18460,N01750,N04475,A04450"
2019,19zpallagi.csv,51,"N11560,ELF,A05780,N04100,A04200,TOTAL_VITA,A85775,N12000,A85530,A18460,A19570,A85770,N85775,A19500,N19530,CPREP,A12000,DIR_DEP,N05780,RAC,A07225,N04200,N01400,A18800,A01700,A17000,VITA_EIC,A04100,N19500,N17000,N85770,N85530,A20950,A19530,A11560,N20950,N11900,N04450,A04475,N18800,N19570,VITA,A11900,ELDERLY,N01700,N07225,TCE,A01400,N18460,N04475,A04450"
2020,20zpallagi.csv,64,"N11560,ELF,A05780,N04100,A04200,TOTAL_VITA,A85775,N12000,N10971,A85530,A18460,A19570,A85770,N85775,A10971,A19500,N19530,CPREP,N02910,A12000,DIR_DEP,N10970,N05780,RAC,A07225,VRTCRIND,N04200,N01400,A18800,A01700,A17000,A10970,A19550,VITA_EIC,A04100,N19500,N17000,N85770,A10973,N85530,A20950,A19530,A11450,A11560,N20950,N11900,N04450,N11450,A04475,N18800,N19570,VITA,N19550,A11900,N01700,ELDERLY,N07225,TCE,A01400,N18460,N04475,A04450,A02910,N10973"
2021,21zpallagi.csv,66,"N11560,ELF,A05780,N04100,A04200,TOTAL_VITA,N11520,A85775,N12000,N10971,A85530,A18460,A19570,A11530,A85770,N85775,A19500,N19530,A10971,CPREP,N02910,A12000,DIR_DEP,N10970,N05780,RAC,A07225,VRTCRIND,N04200,N01400,A18800,A01700,A17000,A10970,A19550,VITA_EIC,A04100,N19500,N17000,N85770,N85530,A20950,A19530,A11450,A11560,N20950,N11900,N04450,N11450,A04475,A11520,N18800,N19570,VITA,N19550,A11900,N01700,ELDERLY,N07225,TCE,A01400,N11530,N18460,N04475,A04450,A02910"
