Year,Filename,Num_Unique_Vars,Unique_Vars
2016,16zpallagi.csv,20,"N19550,A19550,N07220,A01400,N21020,A03230,A20800,A21020,N01400,A09750,N03240,A03240,N09750,N20800,A01700,A07220,N03230,N01700,NUMDEP,RAL"
2017,17zpallagi.csv,26,"N19550,A19550,A11900,N07220,A01400,N20950,A03230,A20800,N01400,N11900,A09750,N03240,A03240,N09750,DIR_DEP,N20800,A01700,A20950,ELF,A07220,CPREP,N03230,N01700,NUMDEP,N12000,A12000"
2018,18zpallagi.csv,26,"A11900,A18460,N01750,A01750,N04100,N20950,N11900,A09750,N04200,A07225,N09750,N18460,DIR_DEP,A20950,ELF,CPREP,N04475,N04450,NUMDEP,N07225,N12000,A04450,A12000,A04475,A04200,A04100"
2019,19zpallagi.csv,25,"A11900,A18460,N04100,A01400,N20950,N01400,N11900,N04200,A07225,N18460,DIR_DEP,A01700,A20950,ELF,CPREP,N04475,N04450,N01700,N07225,N12000,A04450,A12000,A04475,A04200,A04100"
2020,20zpallagi.csv,38,"N19550,A19550,A11900,A18460,A02910,N04100,N10971,A01400,N20950,N11450,N01400,N11900,N04200,A07225,A10970,N18460,VRTCRIND,DIR_DEP,A10973,A01700,A20950,ELF,N10973,CPREP,N04475,N04450,A11450,N10970,N01700,A10971,N07225,N12000,A04450,A12000,A04475,N02910,A04200,A04100"
2021,21zpallagi.csv,40,"N19550,A19550,A11900,A18460,A02910,N04100,N10971,A01400,N20950,A11530,N11450,N01400,N11900,N04200,A07225,A10970,N18460,N11520,VRTCRIND,DIR_DEP,A01700,A20950,ELF,CPREP,N04475,N04450,N11530,A11450,N10970,N01700,A10971,N07225,N12000,A04450,A12000,A04475,N02910,A04200,A11520,A04100"
